0,1,2,3,4,5,6,7,8,9,10
whole milk,whole milk,,,,,,,,,
beef,whole milk,,,,,,,,,
beef,rolls/buns,seasonal products,,,,,,,,
margarine,sweet spreads,,,,,,,,,
beef,long life bakery product,,,,,,,,,
sausage,whole milk,dessert,,,,,,,,
newspapers,newspapers,,,,,,,,,
soda,butter,,,,,,,,,
detergent,pot plants,,,,,,,,,
soda,bottled water,,,,,,,,,
bottled water,onions,,,,,,,,,
canned fish,newspapers,,,,,,,,,
other vegetables,margarine,,,,,,,,,
root vegetables,frozen fish,,,,,,,,,
chewing gum,soda,red/blush wine,,,,,,,,
misc. beverages,soda,,,,,,,,,
meat,liquor,male cosmetics,fruit/vegetable juice,,,,,,,
whole milk,rolls/buns,,,,,,,,,
yogurt,coffee,,,,,,,,,
coffee,napkins,,,,,,,,,
rolls/buns,photo/film,,,,,,,,,
ice cream,pork,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
curd,specialty chocolate,flour,,,,,,,,
ham,citrus fruit,,,,,,,,,
dessert,pastry,,,,,,,,,
meat,whole milk,,,,,,,,,
pot plants,frozen potato products,,,,,,,,,
soda,misc. beverages,,,,,,,,,
pip fruit,napkins,cat food,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
berries,candy,,,,,,,,,
UHT-milk,pastry,bottled water,,,,,,,,
curd,soda,whole milk,,,,,,,,
hard cheese,sugar,,,,,,,,,
canned beer,red/blush wine,,,,,,,,,
whole milk,yogurt,,,,,,,,,
margarine,specialty bar,,,,,,,,,
curd,butter milk,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
pastry,curd,,,,,,,,,
beverages,UHT-milk,,,,,,,,,
ham,other vegetables,,,,,,,,,
beef,pasta,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
other vegetables,pork,rolls/buns,rolls/buns,,,,,,,
bottled water,soda,nut snack,,,,,,,,
soda,dessert,,,,,,,,,
tropical fruit,dessert,domestic eggs,,,,,,,,
photo/film,bottled beer,,,,,,,,,
chicken,margarine,,,,,,,,,
tropical fruit,pork,newspapers,,,,,,,,
tropical fruit,pastry,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
berries,sliced cheese,,,,,,,,,
whole milk,butter milk,yogurt,,,,,,,,
soda,margarine,soda,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
soda,meat,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
root vegetables,butter,frozen vegetables,butter,,,,,,,
citrus fruit,curd,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
pastry,sugar,,,,,,,,,
other vegetables,pip fruit,chocolate,,,,,,,,
berries,ham,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
citrus fruit,domestic eggs,bottled water,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
coffee,pot plants,,,,,,,,,
onions,whole milk,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
bottled beer,ham,other vegetables,pork,whole milk,oil,brown bread,,,,
pickled vegetables,Instant food products,,,,,,,,,
beverages,cake bar,cake bar,frozen meals,,,,,,,
yogurt,napkins,,,,,,,,,
canned beer,newspapers,,,,,,,,,
rolls/buns,instant coffee,,,,,,,,,
meat,whole milk,,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
specialty bar,soda,frozen vegetables,frozen vegetables,,,,,,,
cream cheese ,frankfurter,root vegetables,yogurt,,,,,,,
misc. beverages,onions,,,,,,,,,
soda,bottled water,hygiene articles,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
canned beer,canned beer,,,,,,,,,
shopping bags,UHT-milk,,,,,,,,,
hard cheese,root vegetables,white bread,,,,,,,,
berries,candy,rolls/buns,,,,,,,,
pip fruit,rolls/buns,whole milk,pastry,,,,,,,
root vegetables,fruit/vegetable juice,bottled water,soda,,,,,,,
meat,other vegetables,,,,,,,,,
ham,pastry,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
canned beer,frozen vegetables,,,,,,,,,
ketchup,whole milk,,,,,,,,,
bottled beer,oil,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
canned beer,newspapers,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
pet care,pastry,,,,,,,,,
soda,other vegetables,,,,,,,,,
chicken,hygiene articles,,,,,,,,,
pickled vegetables,other vegetables,,,,,,,,,
beef,shopping bags,pickled vegetables,,,,,,,,
sausage,frozen meals,,,,,,,,,
misc. beverages,frozen meals,,,,,,,,,
fish,root vegetables,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
sausage,newspapers,,,,,,,,,
soda,oil,,,,,,,,,
dessert,soda,,,,,,,,,
pip fruit,bottled water,bottled water,,,,,,,,
root vegetables,yogurt,butter,yogurt,,,,,,,
chicken,whole milk,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
pork,soda,brandy,sausage,rolls/buns,whole milk,yogurt,frozen dessert,shopping bags,,
seasonal products,whole milk,soda,,,,,,,,
bottled water,hair spray,processed cheese,,,,,,,,
bottled beer,specialty cheese,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
sausage,liver loaf,dish cleaner,white bread,canned beer,dishes,white wine,brown bread,,,
sausage,white bread,,,,,,,,,
whole milk,butter,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
pastry,snack products,,,,,,,,,
soda,other vegetables,cream cheese ,,,,,,,,
ham,whole milk,,,,,,,,,
yogurt,canned beer,,,,,,,,,
other vegetables,candy,,,,,,,,,
sausage,bottled water,,,,,,,,,
sausage,tropical fruit,sausage,frankfurter,cream cheese ,other vegetables,hard cheese,chocolate,flour,,
meat,fruit/vegetable juice,long life bakery product,bottled water,,,,,,,
hamburger meat,salty snack,,,,,,,,,
beef,whole milk,newspapers,,,,,,,,
pork,citrus fruit,UHT-milk,dessert,,,,,,,
coffee,other vegetables,,,,,,,,,
beef,beef,,,,,,,,,
chewing gum,newspapers,newspapers,,,,,,,,
tropical fruit,rolls/buns,frozen fish,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
sausage,other vegetables,,,,,,,,,
dessert,whole milk,waffles,,,,,,,,
pork,pastry,,,,,,,,,
hamburger meat,pastry,,,,,,,,,
salty snack,waffles,specialty cheese,,,,,,,,
brown bread,rolls/buns,processed cheese,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
whole milk,pip fruit,softener,,,,,,,,
beverages,waffles,specialty chocolate,,,,,,,,
pip fruit,specialty bar,chocolate,,,,,,,,
Instant food products,whipped/sour cream,,,,,,,,,
curd,bottled beer,hamburger meat,sweet spreads,,,,,,,
pastry,berries,,,,,,,,,
pip fruit,whole milk,coffee,salty snack,,,,,,,
coffee,hard cheese,,,,,,,,,
dessert,other vegetables,,,,,,,,,
white bread,bottled water,,,,,,,,,
whole milk,processed cheese,,,,,,,,,
whole milk,cocoa drinks,,,,,,,,,
pickled vegetables,bottled water,,,,,,,,,
other vegetables,canned beer,newspapers,,,,,,,,
root vegetables,whole milk,,,,,,,,,
beef,white wine,pip fruit,,,,,,,,
chocolate,brown bread,,,,,,,,,
curd,pastry,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
chicken,herbs,soda,,,,,,,,
whole milk,beef,rolls/buns,mustard,,,,,,,
canned vegetables,dental care,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
berries,domestic eggs,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pip fruit,candy,,,,,,,,,
pastry,bottled beer,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
fruit/vegetable juice,canned beer,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
whole milk,dental care,,,,,,,,,
root vegetables,soups,decalcifier,,,,,,,,
UHT-milk,pet care,,,,,,,,,
beverages,bottled water,,,,,,,,,
meat,other vegetables,,,,,,,,,
onions,waffles,,,,,,,,,
other vegetables,whole milk,candy,,,,,,,,
specialty chocolate,white bread,shopping bags,,,,,,,,
other vegetables,meat spreads,specialty cheese,,,,,,,,
dog food,coffee,seasonal products,,,,,,,,
hamburger meat,yogurt,curd cheese,frozen meals,mustard,soda,white wine,butter,,,
canned fish,yogurt,,,,,,,,,
whole milk,sugar,,,,,,,,,
whole milk,butter,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
pork,soda,canned vegetables,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
pork,bottled water,baking powder,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
frankfurter,frankfurter,butter,domestic eggs,margarine,other vegetables,,,,,
UHT-milk,yogurt,napkins,,,,,,,,
misc. beverages,liquor (appetizer),,,,,,,,,
bottled beer,white wine,candles,,,,,,,,
citrus fruit,brown bread,candy,domestic eggs,,,,,,,
root vegetables,canned beer,whole milk,oil,,,,,,,
hamburger meat,citrus fruit,,,,,,,,,
rolls/buns,other vegetables,soft cheese,,,,,,,,
vinegar,dog food,,,,,,,,,
butter milk,whole milk,,,,,,,,,
root vegetables,cream,,,,,,,,,
newspapers,pastry,,,,,,,,,
root vegetables,rolls/buns,UHT-milk,packaged fruit/vegetables,,,,,,,
pork,shopping bags,,,,,,,,,
yogurt,canned vegetables,seasonal products,,,,,,,,
pip fruit,specialty chocolate,liquor (appetizer),soda,,,,,,,
root vegetables,grapes,,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
meat,curd,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
frozen meals,dish cleaner,,,,,,,,,
candy,pot plants,,,,,,,,,
whole milk,whole milk,pastry,pickled vegetables,,,,,,,
newspapers,rolls/buns,,,,,,,,,
specialty chocolate,white wine,nuts/prunes,cream cheese ,cake bar,yogurt,frozen vegetables,,,,
salty snack,pastry,oil,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
sausage,brown bread,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
sausage,whole milk,whipped/sour cream,yogurt,,,,,,,
kitchen utensil,bottled water,rolls/buns,pasta,bottled water,,,,,,
whole milk,rolls/buns,,,,,,,,,
butter,shopping bags,newspapers,,,,,,,,
yogurt,tea,,,,,,,,,
other vegetables,pasta,whole milk,,,,,,,,
cat food,candy,,,,,,,,,
cereals,sugar,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
berries,pip fruit,,,,,,,,,
curd,processed cheese,bottled water,pickled vegetables,,,,,,,
meat spreads,hard cheese,frozen vegetables,butter,,,,,,,
bottled water,whole milk,,,,,,,,,
white wine,cat food,,,,,,,,,
meat,herbs,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
ham,dessert,,,,,,,,,
yogurt,dog food,,,,,,,,,
rolls/buns,chicken,cream cheese ,dishes,,,,,,,
chewing gum,ice cream,,,,,,,,,
snack products,mayonnaise,bottled water,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
butter milk,bottled beer,rice,canned vegetables,,,,,,,
other vegetables,ice cream,pork,salt,,,,,,,
other vegetables,chocolate,white wine,,,,,,,,
soda,root vegetables,fruit/vegetable juice,,,,,,,,
sausage,photo/film,,,,,,,,,
coffee,detergent,rolls/buns,pasta,,,,,,,
sausage,cat food,,,,,,,,,
dessert,jam,,,,,,,,,
frankfurter,other vegetables,butter,frozen vegetables,,,,,,,
root vegetables,rolls/buns,flower (seeds),,,,,,,,
grapes,other vegetables,,,,,,,,,
pip fruit,sausage,red/blush wine,coffee,salt,pastry,,,,,
sausage,whipped/sour cream,,,,,,,,,
yogurt,napkins,,,,,,,,,
pip fruit,beverages,zwieback,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
house keeping products,salty snack,semi-finished bread,other vegetables,whole milk,domestic eggs,chocolate marshmallow,whole milk,,,
whole milk,newspapers,,,,,,,,,
frozen fish,domestic eggs,,,,,,,,,
dessert,pastry,,,,,,,,,
frozen meals,soda,,,,,,,,,
berries,other vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
chicken,butter,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pet care,newspapers,dog food,,,,,,,,
tropical fruit,waffles,,,,,,,,,
curd,coffee,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
chicken,whole milk,,,,,,,,,
bottled water,canned beer,,,,,,,,,
butter,whole milk,,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
root vegetables,coffee,,,,,,,,,
other vegetables,napkins,,,,,,,,,
root vegetables,waffles,cream cheese ,,,,,,,,
chicken,curd,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
misc. beverages,oil,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
frozen meals,domestic eggs,domestic eggs,,,,,,,,
pastry,root vegetables,,,,,,,,,
canned beer,shopping bags,hard cheese,,,,,,,,
pork,brown bread,misc. beverages,,,,,,,,
ham,rolls/buns,,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
berries,shopping bags,,,,,,,,,
whipped/sour cream,citrus fruit,,,,,,,,,
yogurt,yogurt,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
grapes,frozen vegetables,vinegar,,,,,,,,
yogurt,pip fruit,misc. beverages,,,,,,,,
soda,pip fruit,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
ice cream,flower (seeds),,,,,,,,,
margarine,berries,yogurt,coffee,soda,chewing gum,,,,,
shopping bags,citrus fruit,whole milk,sliced cheese,,,,,,,
chocolate,root vegetables,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
cookware,other vegetables,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
chicken,root vegetables,whole milk,rolls/buns,,,,,,,
oil,chewing gum,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
sausage,male cosmetics,,,,,,,,,
bathroom cleaner,other vegetables,,,,,,,,,
long life bakery product,rolls/buns,UHT-milk,bottled water,,,,,,,
tropical fruit,curd,whole milk,other vegetables,,,,,,,
margarine,canned fish,,,,,,,,,
liquor,curd,yogurt,tropical fruit,,,,,,,
sliced cheese,frozen chicken,,,,,,,,,
pickled vegetables,soda,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
whole milk,canned beer,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,other vegetables,other vegetables,hamburger meat,soda,soft cheese,waffles,,,,
chicken,yogurt,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
pastry,grapes,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
soda,margarine,specialty chocolate,,,,,,,,
berries,pip fruit,pastry,,,,,,,,
canned vegetables,pasta,,,,,,,,,
pastry,pasta,,,,,,,,,
whole milk,soups,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
pastry,shopping bags,,,,,,,,,
whole milk,sausage,yogurt,other vegetables,misc. beverages,,,,,,
butter milk,yogurt,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
whole milk,whole milk,napkins,,,,,,,,
processed cheese,other vegetables,,,,,,,,,
ham,bathroom cleaner,,,,,,,,,
domestic eggs,soda,,,,,,,,,
pasta,canned beer,,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
pork,whole milk,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
chocolate,curd,shopping bags,,,,,,,,
ham,rolls/buns,,,,,,,,,
beef,potato products,,,,,,,,,
ice cream,chocolate,seasonal products,,,,,,,,
chicken,white wine,margarine,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
soups,whole milk,beef,bottled beer,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
pork,whole milk,domestic eggs,,,,,,,,
other vegetables,meat,salty snack,,,,,,,,
root vegetables,canned beer,dessert,chewing gum,,,,,,,
butter,yogurt,,,,,,,,,
dessert,dishes,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
meat,canned beer,,,,,,,,,
ice cream,UHT-milk,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
chocolate,waffles,,,,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
pastry,pickled vegetables,,,,,,,,,
waffles,brown bread,,,,,,,,,
chicken,soda,,,,,,,,,
beef,butter milk,,,,,,,,,
pork,yogurt,napkins,,,,,,,,
beverages,bottled water,,,,,,,,,
bottled water,seasonal products,,,,,,,,,
frozen meals,sugar,,,,,,,,,
female sanitary products,other vegetables,,,,,,,,,
pip fruit,whipped/sour cream,rolls/buns,,,,,,,,
ham,whole milk,,,,,,,,,
white bread,coffee,,,,,,,,,
tropical fruit,soda,frozen meals,,,,,,,,
rolls/buns,soda,,,,,,,,,
whole milk,white bread,frozen vegetables,,,,,,,,
hamburger meat,frozen potato products,,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
butter,soda,oil,,,,,,,,
soda,specialty cheese,candy,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
onions,white wine,,,,,,,,,
tropical fruit,soda,spices,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
pork,hamburger meat,soda,other vegetables,popcorn,brown bread,bottled water,,,,
tropical fruit,cat food,,,,,,,,,
zwieback,frozen vegetables,,,,,,,,,
soda,oil,,,,,,,,,
red/blush wine,salty snack,,,,,,,,,
citrus fruit,skin care,,,,,,,,,
liquor (appetizer),onions,whole milk,butter,cream cheese ,specialty cheese,,,,,
coffee,whole milk,,,,,,,,,
sausage,tropical fruit,margarine,,,,,,,,
domestic eggs,pastry,,,,,,,,,
sugar,flour,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
bottled beer,dessert,cling film/bags,,,,,,,,
cream cheese ,shopping bags,shopping bags,,,,,,,,
chicken,canned beer,,,,,,,,,
sausage,cat food,pastry,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
flower soil/fertilizer,waffles,,,,,,,,,
ice cream,meat spreads,,,,,,,,,
other vegetables,tropical fruit,pork,soda,,,,,,,
whole milk,brown bread,,,,,,,,,
canned beer,other vegetables,fruit/vegetable juice,,,,,,,,
herbs,vinegar,shopping bags,,,,,,,,
frozen potato products,root vegetables,,,,,,,,,
pork,napkins,,,,,,,,,
bottled beer,whole milk,shopping bags,,,,,,,,
hamburger meat,pasta,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
sausage,rolls/buns,rice,,,,,,,,
sausage,sausage,pip fruit,sliced cheese,root vegetables,butter milk,,,,,
waffles,margarine,,,,,,,,,
ham,tropical fruit,,,,,,,,,
coffee,bottled beer,,,,,,,,,
whole milk,chewing gum,,,,,,,,,
bags,other vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
whole milk,beverages,,,,,,,,,
onions,flour,whipped/sour cream,,,,,,,,
sausage,cream cheese ,,,,,,,,,
sausage,pot plants,,,,,,,,,
grapes,root vegetables,other vegetables,,,,,,,,
pastry,red/blush wine,,,,,,,,,
butter milk,soda,rolls/buns,,,,,,,,
beef,citrus fruit,napkins,semi-finished bread,brown bread,,,,,,
citrus fruit,other vegetables,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
sausage,sauces,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
beef,flour,,,,,,,,,
soda,candy,,,,,,,,,
cat food,canned vegetables,,,,,,,,,
fruit/vegetable juice,ice cream,,,,,,,,,
long life bakery product,hard cheese,,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
chicken,waffles,,,,,,,,,
meat,rolls/buns,,,,,,,,,
whole milk,soda,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
pastry,whipped/sour cream,pickled vegetables,,,,,,,,
sausage,shopping bags,,,,,,,,,
beef,shopping bags,,,,,,,,,
candy,other vegetables,,,,,,,,,
yogurt,citrus fruit,ice cream,soups,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pork,margarine,,,,,,,,,
sausage,other vegetables,hard cheese,,,,,,,,
chicken,waffles,,,,,,,,,
soda,beverages,rolls/buns,curd,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
soda,hard cheese,,,,,,,,,
pastry,grapes,,,,,,,,,
whole milk,whole milk,,,,,,,,,
white wine,specialty bar,,,,,,,,,
finished products,root vegetables,,,,,,,,,
beef,root vegetables,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
tropical fruit,coffee,,,,,,,,,
frankfurter,chicken,rolls/buns,frankfurter,other vegetables,coffee,long life bakery product,domestic eggs,,,
sausage,hamburger meat,,,,,,,,,
canned beer,pastry,,,,,,,,,
sausage,detergent,salty snack,,,,,,,,
chicken,sausage,domestic eggs,pasta,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
white wine,cream cheese ,,,,,,,,,
bottled water,bottled water,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
ice cream,waffles,,,,,,,,,
sweet spreads,margarine,,,,,,,,,
fruit/vegetable juice,pickled vegetables,,,,,,,,,
other vegetables,dog food,,,,,,,,,
sausage,white wine,candy,,,,,,,,
brown bread,long life bakery product,,,,,,,,,
frankfurter,sausage,,,,,,,,,
soda,shopping bags,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
yogurt,whole milk,,,,,,,,,
whole milk,chocolate,,,,,,,,,
margarine,root vegetables,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
chicken,white bread,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
misc. beverages,rolls/buns,frozen vegetables,beverages,condensed milk,,,,,,
specialty bar,roll products ,Instant food products,,,,,,,,
whole milk,pork,,,,,,,,,
turkey,yogurt,,,,,,,,,
canned fruit,dog food,,,,,,,,,
whole milk,pickled vegetables,soda,,,,,,,,
whipped/sour cream,ice cream,,,,,,,,,
citrus fruit,flour,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
whole milk,yogurt,semi-finished bread,,,,,,,,
beef,domestic eggs,,,,,,,,,
whole milk,rolls/buns,dish cleaner,,,,,,,,
bottled water,whole milk,,,,,,,,,
soda,beef,other vegetables,semi-finished bread,shopping bags,white wine,,,,,
rolls/buns,whole milk,,,,,,,,,
whole milk,yogurt,yogurt,rolls/buns,,,,,,,
rolls/buns,cereals,,,,,,,,,
soda,curd,,,,,,,,,
domestic eggs,shopping bags,,,,,,,,,
tropical fruit,packaged fruit/vegetables,cereals,,,,,,,,
rolls/buns,butter,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
frozen potato products,specialty cheese,,,,,,,,,
whole milk,pastry,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
citrus fruit,other vegetables,brown bread,,,,,,,,
sausage,bottled beer,root vegetables,,,,,,,,
white bread,shopping bags,,,,,,,,,
rolls/buns,newspapers,cereals,,,,,,,,
misc. beverages,cream cheese ,,,,,,,,,
frankfurter,sparkling wine,,,,,,,,,
beef,other vegetables,,,,,,,,,
sausage,root vegetables,,,,,,,,,
curd,brown bread,,,,,,,,,
citrus fruit,rolls/buns,pastry,,,,,,,,
root vegetables,canned beer,,,,,,,,,
frozen vegetables,rice,,,,,,,,,
hamburger meat,soda,,,,,,,,,
butter milk,whole milk,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
other vegetables,pot plants,vinegar,,,,,,,,
dessert,photo/film,,,,,,,,,
pork,bottled water,,,,,,,,,
canned beer,pip fruit,frozen vegetables,dessert,canned vegetables,,,,,,
napkins,yogurt,,,,,,,,,
sauces,shopping bags,,,,,,,,,
other vegetables,pickled vegetables,hard cheese,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sliced cheese,sliced cheese,,,,,,,,,
butter,root vegetables,bottled water,whipped/sour cream,red/blush wine,,,,,,
dessert,shopping bags,,,,,,,,,
fruit/vegetable juice,sausage,sausage,domestic eggs,seasonal products,,,,,,
whole milk,tropical fruit,liquor (appetizer),soda,,,,,,,
other vegetables,sugar,,,,,,,,,
canned beer,whole milk,,,,,,,,,
chicken,coffee,,,,,,,,,
soda,salt,,,,,,,,,
whole milk,curd,,,,,,,,,
soda,frankfurter,soda,salty snack,bottled water,frozen vegetables,yogurt,,,,
pastry,detergent,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
hard cheese,Instant food products,,,,,,,,,
citrus fruit,soda,,,,,,,,,
sweet spreads,white wine,,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
other vegetables,whole milk,tropical fruit,yogurt,,,,,,,
pork,pudding powder,domestic eggs,,,,,,,,
tropical fruit,cake bar,chocolate,,,,,,,,
rolls/buns,other vegetables,chewing gum,,,,,,,,
bottled beer,soda,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
other vegetables,bottled water,beverages,,,,,,,,
sausage,butter,cream cheese ,,,,,,,,
pip fruit,curd,,,,,,,,,
frozen vegetables,flour,,,,,,,,,
beef,margarine,,,,,,,,,
coffee,soda,,,,,,,,,
coffee,coffee,,,,,,,,,
bags,yogurt,soda,,,,,,,,
sausage,cat food,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
tropical fruit,sausage,dog food,sweet spreads,,,,,,,
specialty bar,pastry,,,,,,,,,
ice cream,butter,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
photo/film,frankfurter,other vegetables,curd,waffles,,,,,,
pork,rolls/buns,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
berries,frozen vegetables,,,,,,,,,
whole milk,hard cheese,white bread,,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
bottled water,pastry,specialty bar,herbs,,,,,,,
soda,butter milk,,,,,,,,,
fruit/vegetable juice,beef,,,,,,,,,
butter,citrus fruit,brown bread,pork,shopping bags,hygiene articles,dessert,whole milk,,,
other vegetables,canned beer,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
sausage,newspapers,newspapers,,,,,,,,
root vegetables,butter milk,,,,,,,,,
whole milk,newspapers,,,,,,,,,
chicken,tropical fruit,rolls/buns,liquor,,,,,,,
canned beer,butter,,,,,,,,,
pet care,bottled water,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
margarine,margarine,,,,,,,,,
dessert,curd,whole milk,bottled water,,,,,,,
butter milk,bottled beer,soda,,,,,,,,
root vegetables,turkey,bottled water,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
soda,yogurt,,,,,,,,,
margarine,liquor,,,,,,,,,
yogurt,yogurt,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
citrus fruit,pot plants,newspapers,,,,,,,,
pork,bottled beer,,,,,,,,,
seasonal products,soups,,,,,,,,,
white bread,make up remover,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
salty snack,white wine,,,,,,,,,
sugar,butter milk,photo/film,,,,,,,,
root vegetables,sliced cheese,newspapers,shopping bags,,,,,,,
whole milk,dog food,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
ham,tidbits,,,,,,,,,
soda,hard cheese,,,,,,,,,
yogurt,soda,,,,,,,,,
meat,onions,misc. beverages,,,,,,,,
